#BLTrackFile Det1_vd
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-7.69645 -0.670681 93.5 -27.7591 -6.49408 1510.05 0.48079 211 1 1 0 1 
-0.931984 6.10518 93.5 -5.67813 11.4774 1500.78 0.480747 211 2 1 0 1 
2.51303 0.528068 93.5 -11.9591 19.1584 1494.91 0.480801 211 3 1 0 1 
0.167624 8.9568 94.5 -0.301092 1.09947 -0.962103 0.546216 22 3 1004 1 1 
8.61641 4.42637 93.5 6.63105 26.0344 1496.48 0.480819 211 4 1 0 1 
-0.171983 -2.9796 93.5 41.2156 -13.3543 1505.63 0.480914 211 5 1 0 1 
3.9766 11.4871 93.5 -7.66588 -2.12188 1507.85 0.480717 211 6 1 0 1 
0.793688 16.3898 93.5 4.12544 49.2438 1491.19 0.481018 211 7 1 0 1 
11.688 0.022025 93.5 27.545 24.6401 1499.3 0.480879 211 8 1 0 1 
-3.61237 -1.63546 93.5 -4.10641 -3.92117 1492.65 0.480756 211 9 1 0 1 
5.87395 -1.43657 93.5 17.5044 8.38866 1505.38 0.480757 211 10 1 0 1 
7.24559 6.59658 93.5 19.4102 -25.5005 1490.88 0.480867 211 11 1 0 1 
0.125923 3.58408 93.5 23.1227 0.184133 1492.23 0.480811 211 12 1 0 1 
8.05816 4.25733 93.5 -4.13618 7.03338 1522.4 0.480679 211 13 1 0 1 
7.74748 8.95117 93.5 3.19873 23.7511 1500.69 0.480791 211 14 1 0 1 
-0.9454 -9.8464 93.5 -6.46087 14.1962 1495.83 0.48077 211 15 1 0 1 
3.07482 3.01435 93.5 -4.59372 -18.9006 1504.96 0.480758 211 16 1 0 1 
0.230466 -9.43639 93.5 25.1128 -3.51633 1523.4 0.480735 211 17 1 0 1 
0.174121 6.75726 93.5 3.3985 -17.0248 1504.11 0.480753 211 18 1 0 1 
2.41646 -8.74823 93.5 -9.11184 -13.736 1505.27 0.480746 211 19 1 0 1 
-5.01234 5.61342 93.5 -7.03542 7.65758 1498.59 0.480747 211 20 1 0 1 
3.84441 -3.86701 93.5 2.72197 -6.01579 1497.61 0.480743 211 21 1 0 1 
-3.76656 12.3331 93.5 -6.31125 18.8331 1504.84 0.48076 211 22 1 0 1 
8.81309 2.83434 93.5 32.9996 6.04205 1503.24 0.480842 211 23 1 0 1 
-0.857729 5.36475 93.5 10.086 20.2325 1512.39 0.480752 211 24 1 0 1 
-8.51109 1.90966 93.5 -18.9183 2.58223 1500.06 0.480771 211 25 1 0 1 
2.99038 -5.64213 93.5 -18.1119 -19.5722 1493.62 0.480826 211 26 1 0 1 
-1.91003 0.220508 93.5 21.7588 -26.4548 1516.51 0.480809 211 27 1 0 1 
1.47764 -5.79735 93.5 6.85287 -16.2379 1502.03 0.480759 211 28 1 0 1 
5.32541 -0.88533 93.5 26.9313 10.5979 1522.28 0.480758 211 29 1 0 1 
-0.226244 -9.84345 93.5 15.2257 1.69125 1502.22 0.480751 211 30 1 0 1 
-0.496712 7.10643 93.5 -44.4889 -1.84958 1495.27 0.480956 211 31 1 0 1 
-5.44514 3.6914 93.5 -27.213 1.19436 1493.5 0.480829 211 32 1 0 1 
1.67017 1.10456 93.5 16.9999 -11.8465 1502.35 0.480771 211 33 1 0 1 
6.1038 4.97971 93.5 -3.38285 -23.0584 1467.43 0.480885 211 34 1 0 1 
-4.09214 -9.12285 93.5 -5.4881 -11.4257 1475.6 0.480818 211 35 1 0 1 
-2.19112 -1.64742 93.5 -6.69627 -17.7261 1497.38 0.480777 211 36 1 0 1 
-5.94481 -2.48774 93.5 1.22435 -4.33409 1494.78 0.480749 211 37 1 0 1 
1.31184 -1.83142 93.5 11.4705 -19.9084 1502.23 0.480782 211 38 1 0 1 
-1.08011 -6.95189 93.5 -11.7506 -11.2401 1481.57 0.480812 211 39 1 0 1 
-5.20536 2.89282 93.5 6.303 7.40816 1481.51 0.480794 211 40 1 0 1 
6.47694 -2.60898 93.5 -10.4463 3.44019 1506.22 0.480728 211 41 1 0 1 
3.68192 3.03371 93.5 20.0703 12.9924 1490.69 0.480819 211 42 1 0 1 
12.2351 6.49709 93.5 10.3326 -2.20519 1502.14 0.480738 211 43 1 0 1 
-5.49853 -0.6341 93.5 9.9439 -37.5599 1507.23 0.480871 211 44 1 0 1 
0.421317 -3.29625 93.5 -3.6777 -1.16948 1491.11 0.480758 211 45 1 0 1 
13.5257 4.69449 93.5 23.7922 -0.280407 1515.68 0.480748 211 46 1 0 1 
4.19239 0.265421 93.5 -3.36021 19.4478 1498.51 0.480778 211 47 1 0 1 
2.50825 0.535725 93.5 7.55354 19.5112 1509.63 0.480752 211 48 1 0 1 
-5.95424 -4.44792 93.5 9.57247 -0.495137 1501.93 0.480736 211 49 1 0 1 
14.8419 0.403005 93.5 23.1387 7.77784 1517.84 0.480746 211 50 1 0 1 
-0.142768 1.2248 93.5 0.417866 7.88817 1492.88 0.480758 211 51 1 0 1 
-5.08841 8.76723 93.5 -22.9277 -0.225596 1478.76 0.480849 211 52 1 0 1 
-6.11537 -2.44267 93.5 -0.490651 7.21295 1480.35 0.480793 211 53 1 0 1 
2.39097 -2.99735 93.5 -15.9947 -8.39569 1505.42 0.480752 211 54 1 0 1 
7.34476 -7.47376 93.5 14.1886 -39.7004 1497.61 0.480927 211 55 1 0 1 
-1.58769 5.42971 93.5 -30.4873 5.44335 1502.26 0.480827 211 56 1 0 1 
13.139 5.48064 93.5 36.6844 -16.4533 1471.14 0.480992 211 57 1 0 1 
0.959234 -12.8326 93.5 -17.3855 -16.9022 1505.09 0.48078 211 58 1 0 1 
6.5117 -1.06627 93.5 37.488 -5.04885 1506.88 0.480863 211 59 1 0 1 
-9.19273 7.70717 93.5 2.28894 21.6361 1503.42 0.480773 211 60 1 0 1 
-0.623273 -4.45105 93.5 -1.73342 1.49152 1498.75 0.480736 211 61 1 0 1 
3.83895 -10.7679 93.5 -9.30965 -15.1295 1495.06 0.480779 211 62 1 0 1 
5.08542 -3.82195 93.5 21.0141 -19.3682 1509.98 0.48079 211 63 1 0 1 
4.69348 -4.83665 93.5 11.8657 6.45948 1488.28 0.480784 211 64 1 0 1 
5.10108 -1.145 93.5 4.07085 -8.29207 1492.97 0.480761 211 65 1 0 1 
4.77206 0.444313 93.5 -5.69158 -6.54972 1508.41 0.480717 211 66 1 0 1 
0.249947 -2.82377 93.5 17.892 -19.7006 1508.96 0.480782 211 67 1 0 1 
3.71432 3.00891 93.5 9.16986 29.737 1511.91 0.480801 211 68 1 0 1 
9.82999 7.27245 93.5 9.51091 35.9995 1507.91 0.480856 211 69 1 0 1 
1.88302 1.27392 93.5 16.0145 -3.92871 1508.47 0.480737 211 70 1 0 1 
3.4546 7.74145 93.5 -4.70532 -37.4375 1500.01 0.480883 211 71 1 0 1 
0.798674 3.25021 93.5 19.9136 18.8196 1487.55 0.480848 211 72 1 0 1 
1.98139 1.30738 93.5 1.79957 -0.419585 1513.6 0.480696 211 73 1 0 1 
-3.27021 1.65735 93.5 -10.7012 -14.6573 1495.56 0.480779 211 74 1 0 1 
1.91746 1.28974 93.5 -0.410165 -7.36275 1484.1 0.480782 211 75 1 0 1 
3.13028 -1.68699 93.5 8.93456 -25.4722 1499.53 0.480811 211 76 1 0 1 
-2.24148 7.92026 93.5 5.8827 15.5939 1505.52 0.480746 211 77 1 0 1 
0.699694 -2.06261 93.5 5.68388 15.1628 1505.68 0.480744 211 78 1 0 1 
-7.22541 0.218677 93.5 15.5809 3.30431 1489.37 0.480789 211 79 1 0 1 
7.36667 1.6824 93.5 10.1254 25.7621 1508.04 0.48079 211 80 1 0 1 
-4.16024 4.03334 93.5 24.8976 -16.7045 1509.3 0.480801 211 81 1 0 1 
-1.79577 -2.47591 93.5 -7.14045 12.4918 1510.59 0.480725 211 82 1 0 1 
1.1104 0.859367 93.5 25.3404 17.2992 1492.55 0.480853 211 83 1 0 1 
8.57205 5.06883 93.5 12.43 18.9638 1505.98 0.48077 211 84 1 0 1 
